ID,AÑO,MES,DATE,NANDINA,IMPORTER,FACTURA,CUSTOMS,MODE OF TRANSPORT,TRANSPORT NAME,ORIGIN,DEPARTURE,QUANTITY,UNIT OF MEASUREMENT,FOB U$S,UNIT FOB U$S,CIF U$S,UNIT CIF U$S,FREIGHT U$S,NET W. (KG),GROSS W.(KG),DETAIL OF MERCHANDISE,BULTOS,NANDINA,IVA,OTHERS,SUPPLIER,SUPPLIER  -  ADDRESS,SUPPLIER  -  TOWN,SUPPLIER  -  CONTACT
I0482019000030160,2019,1,2019-01-14,0306171900,COMERCIALIZADORA INTERNACIONAL ANTILLANA,001-003-000000,CARTAGENA ESPECIAL            ,MARITIMO                 ,NAVEMAR SAS              ,ECUADOR             ,ECUADOR             ,"21,526.00",                    ,"137,450.27",6.39,"140,215.56",6.51,"1,390.79","21,526.00","25,012.00","""DO I-896-CTG/2018 PEDIDO 40/4881 DECLARACION 1 DE 1,FACTURA(S):001-003-000000196,IMPORTADO""                            ",000000962,0       ,0       ,0       ,EMPACADORA BILBO S.A BILBOSA                                ,KM 6  1/2 VIA MANTA-MONTECRISTI                             ,MANTA                                   ,                                
I0352019000021879,2019,1,2019-01-15,0306179900,INTERMARES L SAS                        ,001-007-000011,BUENAVENTURA                  ,MARITIMO                 ,EDUARDO  L GERLEIN S     ,ECUADOR             ,ECUADOR             ,"23,640.00",                    ,"116,270.00",4.92,"118,537.51",5.01,"1,104.81","23,640.00","25,610.00","""DO I-495-BUN/2018 PEDIDO 11870 DECLARACION 1 DE 1,FACTURA(S):001-007-000011870,MERCANCIA N""                            ",000001970,0       ,0       ,0       ,INDUSTRIAL PESQUERA SANTA PRISCILA S.A.                     ,KM. 5 1/2 VIA A DAULE                                       ,GUAYAQUIL                               ,                                
I0372019000000714,2019,1,2019-01-15,0306179900,MASTERSEA SAS                           ,002005-0000021,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"21,000.00",                    ,"129,650.00",6.17,"130,967.37",6.24,20.87,"21,000.00","22,095.00",PRODUCTO: CAMARON DE CULTIVO PRECOCIDO CONGELADO MEDIANO Y PEQUE?O. DESTINO: SECTOR GASTRO                              ,000001300,0       ,0       ,0       ,PROCESADORA DE MARISCOS DE EL ORO PROMAORO S.A.             ,PARROQUIA JELI AV EUGENIO CAJAMARCA                         ,EL ORO                                  ,                                
I0372019000000715,2019,1,2019-01-15,0306179900,MASTERSEA SAS                           ,002005-0000021,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"5,669.96",                    ,"60,625.00",10.69,"61,241.01",10.80,9.76,"5,669.96","5,965.00",PRODUCTO: CAMARON DE CULTIVO CRUDO CONGELADO GRANDE. DESTINO: SECTOR GASTRONOMICO. PARA CO                              ,000001300,0       ,0       ,0       ,PROCESADORA DE MARISCOS DE EL ORO PROMAORO S.A.             ,PARROQUIA JELI AV EUGENIO CAJAMARCA                         ,EL ORO                                  ,                                
I0482019000034755,2019,1,2019-01-15,0306179900,INTERMARES L SAS                        ,001-007-000011,CARTAGENA ESPECIAL            ,MARITIMO                 ,EDUARDO  L GERLEIN S     ,ECUADOR             ,ECUADOR             ,"23,412.00",                    ,"126,591.00",5.41,"129,143.13",5.52,"1,286.22","23,412.00","25,363.00","""DO I-1068-CTG/2018 PEDIDO 11932 DECLARACION 1 DE 1,FACTURA(S):001-007-000011932,MERCANCIA""                             ",000001951,0       ,0       ,0       ,INDUSTRIAL PESQUERA SANTA PRISCILA S.A.                     ,KM. 5 1/2 VIA A DAULE                                       ,GUAYAQUIL                               ,                                
I0372019000000806,2019,1,2019-01-16,0306179900,SUAREZ LOAIZA JUAN DE DIOS              ,S 002-001-0000,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"11,540.00",                    ,"39,236.00",3.40,"39,928.80",3.46,300.44,"11,540.00","11,997.00",PRODUCTO: CAMARON POMADA DE CULTIVO PRECOCIDO CONGELADO. DESTINO: SECTOR GASTRONOMICO - PA                              ,000000748,0       ,0       ,0       ,EMPACADORA CORAL PACIFICO EMCOPAC S A                       ,BLOQUE IESS CALLE BOLIVIA 1300 Y QUITO(                     ,ESMERALDAS                              ,                                
I0372019000000854,2019,1,2019-01-16,0306179900,COMERCIALIZADORA Y DISTRIBUIDORA PLANETA,001-002-000000,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"10,000.00",                    ,"52,000.00",5.20,"52,474.00",5.25,46.00,"10,000.00","10,680.00",PRODUCTO: CAMARON DE CULTIVO PRECOCIDO CONGELADO. VARIAS TALLAS. DESTINO: SECTOR GASTRONOM                              ,000000500,0       ,0       ,0       ,COMERCIALIZADORA INTERNACIONAL DE MARISCOS MARGRANJA SA     ,LOCALIZACION DOS ESTEROS PASAJE B Y                         ,SANTO DOMINGO                           ,                                
I0482019000037724,2019,1,2019-01-16,0306140000,MARISCOS ATLANTIC S.A.                  ,SA3472        ,CARTAGENA ESPECIAL            ,MARITIMO                 ,EDUARDO  L GERLEIN S     ,CHINA               ,E.E.U.U.            ,100.00,                    ,"3,438.75",34.39,"3,598.19",35.98,125.05,100.00,146.00,PERMISO DE COMERCIALIZACION AUNAP RESOLUCION No 1453 DEL 24/07/2017. NOS ACOGEMOS A LA CIR                              ,000001968,15      ,19      ,0       ,WISMETTAC ASIAN FOODS INC                                   ,13409 ORDEN DRIVE SANTA FE SPRINGS                          ,SANTA FE SPRINGS                        ,                                
I0352019000026511,2019,1,2019-01-17,0306179900,ALIMENTOS & SNACKS DE COLOMBIA SAS      ,002-003-000009,BUENAVENTURA                  ,MARITIMO                 ,MAERSK COLOMBIA S.A      ,ECUADOR             ,ECUADOR             ,"13,480.00",                    ,"113,169.00",8.40,"116,719.78",8.66,"2,419.09","13,480.00","15,583.82",DO MDEMMA079568. Pedido Tramite: CAMARON #6. Declaracion(1-1). CUMPLE CON REGLAMENTO TECNI                              ,000001348,0       ,0       ,0       ,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS - OMARSA S.A.  ,LOTIZACI?N INDUSTRIAL AL R?O SOLA                           ,DURAN                                   ,                                
I0372019000000918,2019,1,2019-01-17,0306179900,EXPOMAR COLOMBIA S.A.S                  ,001-001-000000,IPIALES                       ,TERRESTRE                ,TRANSPORTE  CARVAJAL     ,ECUADOR             ,ECUADOR             ,"15,000.00",                    ,"46,500.00",3.10,"47,000.25",3.13,35.25,"15,000.00","15,750.00",DIM 1/1 DO0067-IP19 PEDIDO 17/01/2019 PRODUCTO : CAMARON DE CULTIVO CRUDO Y CONGELADO. CAN                              ,000000750,0       ,0       ,0       ,EXPORTADORA LAMAR EXPO&LAMAR S.A.                           ,KM 16.5 S/N VIA A DAULE SOLAR 13                            ,GUAYAQUIL                               ,                                
I0872019000011691,2019,1,2019-01-18,0306179900,HICO FISH S.A.S.                        ,CI-749        ,BARRANQUILLA ESPECIAL         ,MARITIMO                 ,CARIBBEAN AMERICAN S     ,E.E.U.U.            ,E.E.U.U.            ,"2,267.96",                    ,"10,000.00",4.41,"10,360.34",4.57,260.34,"2,267.96","2,267.96","""3/6 DO TIM19870015/ DO 2019 002 PI 2, FACTURA COMERCIAL: CI-749 DE 2019/01/09.   CONCEPTO""                             ",000008361,4       ,0       ,0       ,CORACLE INCORPORATION                                       ,40 SW 13 ST OF 703 MIAMI FL 33130                           ,MIAMI                                   ,                                
I0872019000011818,2019,1,2019-01-18,0306179900,HICO FISH S.A.S.                        ,CI-748        ,BARRANQUILLA ESPECIAL         ,MARITIMO                 ,CARIBBEAN AMERICAN S     ,E.E.U.U.            ,E.E.U.U.            ,"3,678.63",                    ,"16,220.00",4.41,"16,847.08",4.58,464.88,"3,678.63","3,679.05","""6/6 DO TIM19877015/ DO 2019 002 PI 2, FACTURA COMERCIAL: CI-748 DE 2019/01/09.   CONCEPTO""                             ",000008361,4       ,0       ,0       ,CORACLE INCORPORATION                                       ,40 SW 13 ST OF 703 MIAMI FL 33130                           ,MIAMI                                   ,                                
I0352019000030843,2019,1,2019-01-19,0306179900,ADINAS GROUP SAS                        ,002-003-000009,BUENAVENTURA                  ,MARITIMO                 ,MAERSK COLOMBIA S.A      ,ECUADOR             ,ECUADOR             ,"18,220.00",                    ,"130,896.00",7.18,"133,612.71",7.33,"1,407.75","18,220.00","19,238.56","DO BUN-010-19 PEDIDO PEDIDO I1825 DECLARACION 1 DE 1 /// PRODUCTO: CAMARON DE CULTIVO, COL                              ",000001822,0       ,0       ,0       ,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA S.A     ,AV. BARCELONA S/N MUELLE OMARSA JUN                         ,ECUADOR                                 ,                                
I0352019000031180,2019,1,2019-01-21,0306179900,SOCIEDAD DE COMERCIALIZACION INTERNACION,002-003-000000,BUENAVENTURA                  ,MARITIMO                 ,AGENTES PORTUARIOS S     ,ECUADOR             ,ECUADOR             ,"14,000.00",                    ,"84,131.60",6.01,"85,389.81",6.10,416.89,"14,000.00","14,700.00","DO 2019028 DECLARACION(1-2) VISTO BUENO INVIMA NO. NO. VINVIMA-19-01381 DE 2019-01-09, VIS                              ",000001300,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0352019000031194,2019,1,2019-01-21,0306179900,SOCIEDAD DE COMERCIALIZACION INTERNACION,002-003-000000,BUENAVENTURA                  ,MARITIMO                 ,AGENTES PORTUARIOS S     ,ECUADOR             ,ECUADOR             ,"12,000.00",                    ,"73,280.00",6.11,"74,365.11",6.20,352.31,"12,000.00","12,600.00","DO 2019028 DECLARACION(2-2) VISTO BUENO INVIMA NO. NO. VINVIMA-19-02051 DE 2019-01-10, VIS                              ",000001300,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0372019000001407,2019,1,2019-01-23,0306179900,COMERCIALIZADORA FRESMAR S.A.S.         ,002-003-000000,IPIALES                       ,TERRESTRE                ,CONSOLIDADORA Y TRAN     ,ECUADOR             ,ECUADOR             ,"13,120.00",                    ,"75,157.42",5.73,"75,974.04",5.79,65.05,"13,120.00","13,776.00","(D.O. 19-I-019 1/2) - 656 CAJAS.  - CAMARON DE CULTIVO, PRECOCIDO, CONGELADO, PARA CONSUMO                              ",000001400,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0372019000001413,2019,1,2019-01-23,0306179900,COMERCIALIZADORA FRESMAR S.A.S.         ,002-003-000000,IPIALES                       ,TERRESTRE                ,CONSOLIDADORA Y TRAN     ,ECUADOR             ,ECUADOR             ,"14,880.00",                    ,"78,469.04",5.27,"79,361.36",5.33,107.63,"14,880.00","15,624.00","(D.O. 19-I-019 2/2) - 744 CAJAS.  - CAMARON DE CULTIVO, CRUDO, CONGELADO, PARA CONSUMO HUM                              ",000001400,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0372019000001635,2019,1,2019-01-25,0306179900,OSORIO RAMIREZ JAMER ANTONIO            ,001-006-000011,IPIALES                       ,TERRESTRE                ,TRANSPORTE  CARVAJAL     ,ECUADOR             ,ECUADOR             ,"14,000.00",                    ,"92,905.00",6.64,"93,655.13",6.69,178.92,"14,000.00","16,800.00",DIM 1/1 DO0109-IP19 PEDIDO 01/25/2019 PRODUCTO : CAMARON DE CULTIVO COCIDO Y CONGELADO. CA                              ,000001400,0       ,0       ,0       ,EXPALSA EXPORTADORA DE ALIMENTOS S.A.                       ,KM 6 1 2 VIA DURAN TAMBO                                    ,GUAYAQUIL                               ,                                
I0352019000045842,2019,1,2019-01-26,0306179900,SOCIEDAD DE COMERCIALIZACION INTERNACION,002-003-000000,BUENAVENTURA                  ,MARITIMO                 ,AGENTES PORTUARIOS S     ,ECUADOR             ,ECUADOR             ,"14,000.00",                    ,"80,498.80",5.75,"81,732.78",5.84,428.99,"14,000.00","14,700.00","DO 2019037 DECLARACION(1-2) // VISTO BUENO INVIMA NO. NO. VINVIMA-19-01956 DE 2019-01-10,                               ",000001300,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0352019000045845,2019,1,2019-01-26,0306179900,SOCIEDAD DE COMERCIALIZACION INTERNACION,002-003-000000,BUENAVENTURA                  ,MARITIMO                 ,AGENTES PORTUARIOS S     ,ECUADOR             ,ECUADOR             ,"12,000.00",                    ,"62,794.00",5.23,"63,823.21",5.32,401.27,"12,000.00","12,600.00","DO 2019037 DECLARACION(2-2) // VISTO BUENO INVIMA NO. NO. VINVIMA-19-02051 DE 2019-01-10,                               ",000001300,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0352019000045931,2019,1,2019-01-26,0306179900,SOCIEDAD DE COMERCIALIZACION INTERNACION,002-003-000000,BUENAVENTURA                  ,MARITIMO                 ,AGENTES PORTUARIOS S     ,ECUADOR             ,ECUADOR             ,"12,000.00",                    ,"62,794.00",5.23,"63,823.21",5.32,401.27,"12,000.00","12,600.00","DO 2019037 DECLARACION(2-2) // VISTO BUENO INVIMA NO. NO. VINVIMA-19-02051 DE 2019-01-10,                               ",000001300,0       ,0       ,0       ,ZAMBRITISA S.A.                                             ,"MAPASINGUE OESTE, CALLE TERCERA 438                         ",GUAYAQUIL                               ,                                
I0482019000066370,2019,1,2019-01-26,0306140000,MARISCOS ATLANTIC S.A.                  ,SA3517        ,CARTAGENA ESPECIAL            ,MARITIMO                 ,EDUARDO  L GERLEIN S     ,CHINA               ,E.E.U.U.            ,210.00,                    ,"7,231.31",34.43,"7,617.08",36.27,313.46,210.00,248.04,PERMISO DE COMERCIALIZACION AUNAP RESOLUCION No 1453 DEL 24/07/2017. NOS ACOGEMOS A LA CIR                              ,000002230,15      ,19      ,0       ,WISMETTAC ASIAN FOODS INC                                   ,13409 ORDEN DRIVE SANTA FE SPRINGS                          ,SANTA FE SPRINGS                        ,                                
I0372019000001901,2019,1,2019-01-29,0306179900,P Y M PACIFIC GROUP S.A.S.              ,002002-0000001,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"12,000.00",                    ,"69,264.00",5.77,"69,866.32",5.82,90.32,"12,000.00","12,780.00",PRODUCTO: CAMARON DE CULTIVO CRUDO CONGELADO. DESTINO: SECTOR GASTRONOMICO. PARA CONSUMO H                              ,000000600,0       ,0       ,0       ,EXPORTADORA DE CAMARON ECUATORIANO EXCAMECOR                ,VIA PANAMERICANA E/ MANUELA SAENZ Y GUAR                    ,GUAYAQUIL                               ,                                
I0372019000001905,2019,1,2019-01-29,0306179900,CAMPEZ S.A.S.                           ,001-002-000000,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"10,000.00",                    ,"50,000.00",5.00,"50,464.00",5.05,36.00,"10,000.00","10,680.00","PRODUCTO: CAMARON DE CULTIVO CRUDO CONGELADO, VARIAS TALLAS. DESTINO: SECTOR GASTRONOMICO.                              ",000000500,0       ,0       ,0       ,COMERCIALIZADORA INTERNACIONAL DE MARISCOS MARGRANJA SA     ,LOCALIZACION DOS ESTEROS PASAJE B Y                         ,SANTO DOMINGO                           ,                                
I0482019000075636,2019,1,2019-01-29,0306179900,PACIFIC SEAFOOD LTDA                    ,001-004-000006,CARTAGENA ESPECIAL            ,MARITIMO                 ,NAVEMAR SAS              ,ECUADOR             ,ECUADOR             ,"18,646.80",                    ,"201,469.74",10.80,"204,060.40",10.94,575.96,"18,646.80","21,071.01",CODIGO UAP 1593 DO I70986 PEDIDO PEDIDO DO. 1766 - SONGA DECLARACION 1 DE 1.FACTURA(S):001                              ,000001749,0       ,0       ,0       ,SOCIEDAD NACIONAL DE GALAPAGOS C.A SONGA                    ,"AV. LAS EXCLUSAS KM 3,5 VIA HEDA.LA                         ",GUAYAQUIL                               ,                                
I0872019000022996,2019,1,2019-01-29,0306179900,HICO FISH S.A.S.                        ,CI-750        ,BARRANQUILLA ESPECIAL         ,MARITIMO                 ,CARIBBEAN AMERICAN S     ,E.E.U.U.            ,E.E.U.U.            ,"2,267.96",                    ,"10,000.00",4.41,"10,387.49",4.58,287.49,"2,267.96","2,267.96","""2/4 DO TIM19870029 DO 2019 003 PI 3, FACTURA COMERCIAL: CI-750 DE 2019/01/07. CONCEPTO DEL""                            ",000006090,4       ,0       ,0       ,CORACLE INCORPORATION                                       ,40 SW 13 ST OF 703 MIAMI FL 33130                           ,MIAMI                                   ,                                
I0872019000023003,2019,1,2019-01-29,0306179900,HICO FISH S.A.S.                        ,CI-751        ,BARRANQUILLA ESPECIAL         ,MARITIMO                 ,CARIBBEAN AMERICAN S     ,E.E.U.U.            ,E.E.U.U.            ,"2,267.96",                    ,"10,000.00",4.41,"10,387.62",4.58,287.62,"2,267.96","2,267.96","""4/4 DO TIM19870029 DO 2019 003 PI 3, FACTURA COMERCIAL: CI-750 DE 2019/01/07. CONCEPTO DEL""                            ",000006090,4       ,0       ,0       ,CORACLE INCORPORATION                                       ,40 SW 13 ST OF 703 MIAMI FL 33130                           ,MIAMI                                   ,                                
I0372019000002240,2019,2,2019-02-01,0306179900,INPESANDINA LTDA                        ,001-001-000003,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"18,515.00",                    ,"44,226.00",2.39,"45,162.13",2.44,493.87,"18,515.00","20,081.00",PRODUCTO: CAMARON DE CULTIVO PRECOCIDO CONGELADO VARIAS TALLAS. DESTINO: SECTOR GASTRONOMI                              ,000002078,0       ,0       ,0       ,INDUSTRIAL PESQUERA CRISTIANSEN S.A                         ,VIA DAULE KM 10.5 LON INMACONSA                             ,GUAYAQUIL                               ,                                
I0372019000002241,2019,2,2019-02-01,0306179900,INPESANDINA LTDA                        ,001-001-000003,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"5,945.00",                    ,"14,202.00",2.39,"14,487.01",2.44,142.99,"5,945.00","6,449.00","PRODUCTO: CAMARON DE CULTIVO CONGELADO CRUDO. DESTINO: SECTOR GASTRONOMICO, PARA CONSUMO H                              ",000002078,0       ,0       ,0       ,INDUSTRIAL PESQUERA CRISTIANSEN S.A                         ,VIA DAULE KM 10.5 LON INMACONSA                             ,GUAYAQUIL                               ,                                
I0372019000002242,2019,2,2019-02-01,0306179900,INPESANDINA LTDA                        ,001-001-000003,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"18,780.00",                    ,"44,226.00",2.35,"45,162.13",2.40,493.87,"18,780.00","20,411.00",PRODUCTO: CAMARON DE CULTIVO PRECOCIDO CONGELADO VARIAS TALLAS. DESTINO: SECTOR GASTRONOMI                              ,000002078,0       ,0       ,0       ,INDUSTRIAL PESQUERA CRISTIANSEN S.A                         ,VIA DAULE KM 10.5 LON INMACONSA                             ,GUAYAQUIL                               ,                                
I0372019000002243,2019,2,2019-02-01,0306179900,INPESANDINA LTDA                        ,001-001-000003,IPIALES                       ,TERRESTRE                ,TRANSPORTE NACIONAL      ,ECUADOR             ,ECUADOR             ,"5,680.00",                    ,"14,202.00",2.50,"14,487.01",2.55,142.99,"5,680.00","6,119.00","PRODUCTO: CAMARON DE CULTIVO CONGELADO CRUDO. DESTINO: SECTOR GASTRONOMICO, PARA CONSUMO H                              ",000002078,0       ,0       ,0       ,INDUSTRIAL PESQUERA CRISTIANSEN S.A.                        ,VIA DAULE KM 10.5 INMACONSA                                 ,GUAYAQUIL                               ,                                
I0482019000084428,2019,2,2019-02-01,0306171900,COMERCIALIZADORA INTERNACIONAL ANTILLANA,001-003-000000,CARTAGENA ESPECIAL            ,MARITIMO                 ,NAVEMAR SAS              ,ECUADOR             ,ECUADOR             ,"21,274.00",                    ,"129,506.30",6.09,"132,304.82",6.22,"1,503.46","21,274.00","25,973.00","""DO I-1039-CTG/2018 PED 40/5137 DECL 1 DE 1,FACTURA(S):001-003-000000206,IMPORTADOR UAP. ME""                            ",000001040,0       ,0       ,0       ,EMPACADORA BILBO S.A BILBOSA                                ,KM 6  1/2 VIA MANTA-MONTECRISTI                             ,MANTA                                   ,                                
